Time(s),ADC
5.6038,0
5.6083,168
5.6126,692
5.6156,668
5.6201,234
5.6241,0
5.6271,174
5.6316,692
5.6356,670
5.6401,249
5.6432,0
5.6482,168
5.6523,691
5.6562,671
5.6597,242
5.6637,0
5.6682,169
5.6723,691
5.6763,679
5.6798,257
5.6838,0
5.6883,175
5.6923,691
5.6963,677
5.6998,260
5.7038,0
5.7083,160
5.7123,692
5.7163,674
5.7198,250
5.7238,0
5.7283,164
5.7323,692
5.7358,674
5.7403,247
5.7433,0
5.7483,167
5.7523,691
5.7563,670
5.7598,248
5.7638,0
5.7683,170
5.7723,691
5.7763,679
5.7798,250
5.7840,0
5.7885,155
5.7925,691
5.7965,675
5.8001,273
5.8041,0
5.8085,159
5.8125,691
5.8155,679
5.8200,271
5.8241,0
5.8271,155
5.8320,691
5.8360,678
5.8405,271
5.8435,0
5.8485,151
5.8525,692
5.8565,682
5.8600,264
5.8640,0
5.8685,138
5.8725,691
5.8765,677
5.8800,276
5.8840,0
5.8885,140
5.8925,691
5.8965,675
5.9001,275
5.9041,0
5.9085,151
5.9126,691
5.9156,673
5.9201,269
5.9244,0
5.9284,145
5.9325,692
5.9365,677
5.9400,272
5.9440,0
5.9485,135
5.9526,692
5.9566,680
5.9601,279
5.9641,0
5.9686,135
5.9726,691
