Time(s),Filtered_Voltage
260.2223,0.0022413676715014037
260.2253,0.000654973201480574
260.2293,8.322352073885807e-05
260.234,0.0005585171796881846
260.238,0.0013956176076006584
260.2415,0.0018770683355622758
260.2455,0.0017652615097769604
260.2495,0.0012496088705305879
260.2541,0.000666982487043986
260.2581,0.0003800351561180175
260.2616,0.000715721380447512
260.2656,0.001729861988843002
260.2696,0.0029498810649667803
260.2742,0.0035235637761523273
260.2782,0.002861738778902193
260.2823,0.001232466840104115
260.2863,-0.00035377076528514233
260.2893,-0.0009478453207508765
260.2939,-0.0003871303341469084
260.2979,0.0007011245478201875
260.3014,0.0014779016701036026
260.3054,0.0014696279368904184
260.3094,0.0007517263350547995
260.3136,-0.0002922083633302887
260.3176,-0.0014056897172479246
260.3221,-0.0026959193584624626
260.3261,-0.004402358009576361
260.3301,-0.006431441395799418
260.3339,-0.008230210244071303
260.3379,-0.009191457272500654
260.3415,-0.009111922368574527
260.3457,-0.008223039549059563
260.3496,-0.006933021766137458
260.3543,-0.005633856253242607
260.3574,-0.004569134330019075
260.3615,-0.0036881607276212256
260.3656,-0.002726348850952418
260.3697,-0.0016084965216312905
260.3743,-0.000692168521506553
260.3784,-0.000438922082410478
260.3815,-0.0009035472296109217
260.3856,-0.0017072770339448238
260.3895,-0.0024620256608733383
260.394,-0.003022085302211484
260.3981,-0.00329759103980104
260.4018,-0.0030524869273150755
260.4059,-0.002121881643136413
260.4099,-0.0008303510343391992
260.4136,3.0550527149946155e-05
260.4176,-0.0001434565587522833
260.4221,-0.0011443964243223006
260.4261,-0.0021373135408027247
260.4301,-0.0025042901611726717
260.4337,-0.0023598694448275686
260.4377,-0.0021983872789343682
260.4422,-0.002247699405770267
260.4462,-0.002323698915051913
260.4502,-0.002162150116880697
260.4534,-0.0016444678564507841
260.4575,-0.0007276201854676311
260.462,0.0005707031725790805
260.466,0.0020062959566552892
260.47,0.0031526548543468684
260.4735,0.0037651559617048313
260.4775,0.0038479567817271405
260.4816,0.0031511227751071422
260.4857,0.0010032394557294578
260.4897,-0.0028057514218849428
260.4944,-0.00714341592478942
260.4983,-0.010205692423252354
260.5014,-0.011247476580834873
260.5056,-0.011208310171274782
